accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
1	0.7834	0.6527	0.3527	0.7049	0.0670	0.8570	17.3000	0.0736	1109.0000	125.0000	0.1127	1146.0000
2	0.8152	0.6370	0.3541	0.7701	0.0680	0.8818	17.0000	0.0601	893.0000	91.0000	0.1019	932.0000
3	0.8158	0.6263	0.3512	0.7425	0.0595	0.8772	16.9000	0.0706	967.0000	97.0000	0.1003	992.0000
4	0.8160	0.6148	0.3513	0.7820	0.0593	0.8913	17.0000	0.0646	909.0000	82.0000	0.0902	927.0000
5	0.8270	0.6164	0.3411	0.7601	0.0606	0.8770	17.1000	0.0792	864.0000	93.0000	0.1076	887.0000
6	0.8618	0.6148	0.3496	0.7742	0.0598	0.8896	16.9000	0.0596	877.0000	79.0000	0.0901	890.0000
7	0.8260	0.6172	0.3492	0.7703	0.0631	0.8766	16.9000	0.0731	866.0000	90.0000	0.1039	892.0000
8	0.8206	0.6119	0.3401	0.7530	0.0585	0.8888	17.0000	0.0772	854.0000	84.0000	0.0984	895.0000
9	0.8412	0.6115	0.3484	0.7690	0.0571	0.8997	17.1000	0.0648	874.0000	82.0000	0.0938	887.0000
10	0.8226	0.6176	0.3493	0.7578	0.0627	0.8754	17.2000	0.0805	839.0000	88.0000	0.1049	862.0000
11	0.8468	0.6218	0.3598	0.7826	0.0611	0.8882	17.1000	0.0605	831.0000	84.0000	0.1011	853.0000
12	0.8278	0.6143	0.3574	0.7612	0.0661	0.8792	17.0000	0.0789	837.0000	94.0000	0.1123	870.0000
13	0.7986	0.6168	0.3632	0.7412	0.0631	0.8815	17.0000	0.0697	874.0000	91.0000	0.1041	883.0000
14	0.8247	0.6205	0.3509	0.7535	0.0656	0.8870	17.2000	0.0701	854.0000	84.0000	0.0984	869.0000
15	0.8314	0.6176	0.3548	0.7693	0.0625	0.8771	17.2000	0.0848	844.0000	87.0000	0.1031	868.0000
16	0.8337	0.6176	0.3554	0.7617	0.0590	0.8787	17.2000	0.0690	857.0000	94.0000	0.1097	904.0000
17	0.8009	0.6148	0.3555	0.7366	0.0613	0.8676	17.2000	0.0737	902.0000	99.0000	0.1098	918.0000
18	0.8423	0.6189	0.3621	0.7498	0.0593	0.8769	17.1000	0.0768	871.0000	95.0000	0.1091	907.0000
19	0.8259	0.6123	0.3497	0.8200	0.0612	0.8927	17.0000	0.0658	838.0000	79.0000	0.0943	876.0000
20	0.8075	0.6123	0.3543	0.7701	0.0635	0.8869	17.2000	0.0811	811.0000	86.0000	0.1060	838.0000
21	0.8120	0.6201	0.3561	0.7714	0.0618	0.8813	17.0000	0.0798	906.0000	90.0000	0.0993	917.0000
22	0.8114	0.6090	0.3566	0.7553	0.0599	0.8733	17.3000	0.0857	896.0000	92.0000	0.1027	917.0000
23	0.8191	0.6143	0.3483	0.7429	0.0609	0.8738	17.1000	0.0633	884.0000	90.0000	0.1018	902.0000
24	0.8103	0.6222	0.3540	0.7541	0.0626	0.8754	17.1000	0.0766	834.0000	94.0000	0.1127	864.0000
25	0.8145	0.6205	0.3484	0.7387	0.0647	0.8605	17.1000	0.0816	815.0000	96.0000	0.1178	834.0000
26	0.8224	0.6222	0.3634	0.7594	0.0630	0.8910	17.1000	0.0671	891.0000	88.0000	0.0988	895.0000
27	0.8223	0.6119	0.3488	0.7488	0.0591	0.8970	17.3000	0.0619	847.0000	85.0000	0.1004	897.0000
28	0.8193	0.6164	0.3531	0.7770	0.0614	0.8769	16.8000	0.0701	832.0000	88.0000	0.1058	876.0000
29	0.8376	0.6143	0.3392	0.7773	0.0579	0.8847	17.0000	0.0740	838.0000	83.0000	0.0990	876.0000
30	0.8307	0.6152	0.3452	0.7614	0.0603	0.8832	16.9000	0.0680	828.0000	87.0000	0.1051	848.0000
31	0.8368	0.6168	0.3567	0.7575	0.0607	0.8786	17.2000	0.0656	873.0000	90.0000	0.1031	882.0000
32	0.8237	0.6259	0.3692	0.7495	0.0634	0.8791	17.0000	0.0636	889.0000	89.0000	0.1001	891.0000
33	0.8148	0.6226	0.3664	0.7689	0.0650	0.8894	17.1000	0.0629	889.0000	84.0000	0.0945	893.0000
34	0.8178	0.6119	0.3462	0.7903	0.0609	0.8819	17.1000	0.0766	819.0000	85.0000	0.1038	861.0000
35	0.8429	0.6172	0.3483	0.7912	0.0631	0.8983	17.2000	0.0631	786.0000	75.0000	0.0954	810.0000
36	0.8243	0.6164	0.3570	0.7495	0.0620	0.8939	17.0000	0.0702	877.0000	85.0000	0.0969	916.0000
37	0.8361	0.6073	0.3482	0.7851	0.0624	0.8875	17.2000	0.0605	776.0000	85.0000	0.1095	805.0000
38	0.8198	0.6098	0.3440	0.7375	0.0603	0.8879	16.9000	0.0663	845.0000	85.0000	0.1006	857.0000
39	0.8293	0.6123	0.3548	0.7501	0.0605	0.8788	16.9000	0.0745	854.0000	87.0000	0.1019	871.0000
40	0.8197	0.6135	0.3447	0.7916	0.0597	0.8988	16.8000	0.0704	831.0000	75.0000	0.0903	858.0000
41	0.8177	0.6139	0.3518	0.7551	0.0587	0.8796	17.0000	0.0593	849.0000	86.0000	0.1013	866.0000
42	0.8416	0.6094	0.3457	0.7508	0.0612	0.8744	17.2000	0.0745	841.0000	90.0000	0.1070	870.0000
43	0.8107	0.6148	0.3523	0.7430	0.0599	0.8759	17.2000	0.0781	878.0000	93.0000	0.1059	896.0000
44	0.7860	0.6180	0.3571	0.7149	0.0622	0.8906	17.0000	0.0709	890.0000	92.0000	0.1034	897.0000
45	0.8239	0.6040	0.3453	0.7410	0.0557	0.8795	17.0000	0.0627	855.0000	90.0000	0.1053	878.0000
46	0.8309	0.6115	0.3411	0.7850	0.0613	0.8849	17.0000	0.0740	801.0000	90.0000	0.1124	820.0000
47	0.8095	0.6209	0.3530	0.7566	0.0640	0.8857	17.0000	0.0727	843.0000	91.0000	0.1079	864.0000
48	0.8391	0.6106	0.3511	0.7742	0.0645	0.8761	17.1000	0.0710	823.0000	88.0000	0.1069	846.0000
49	0.8166	0.6148	0.3625	0.7444	0.0603	0.8699	16.8000	0.0754	863.0000	94.0000	0.1089	887.0000
50	0.8351	0.6230	0.3696	0.7587	0.0645	0.8797	17.0000	0.0761	889.0000	96.0000	0.1080	908.0000
51	0.8411	0.6222	0.3539	0.7497	0.0653	0.9007	17.1000	0.0588	837.0000	83.0000	0.0992	861.0000
52	0.8382	0.5991	0.3317	0.7794	0.0586	0.8783	17.1000	0.0722	801.0000	84.0000	0.1049	830.0000
53	0.7844	0.6160	0.3576	0.7430	0.0641	0.8636	16.9000	0.0792	861.0000	93.0000	0.1080	866.0000
54	0.8282	0.6168	0.3475	0.7576	0.0622	0.8878	17.0000	0.0574	839.0000	81.0000	0.0965	860.0000
55	0.7923	0.6201	0.3522	0.7785	0.0615	0.8755	17.1000	0.0717	837.0000	88.0000	0.1051	851.0000
56	0.8033	0.6164	0.3437	0.7580	0.0621	0.8815	16.9000	0.0790	875.0000	87.0000	0.0994	882.0000
57	0.8335	0.6168	0.3640	0.7604	0.0648	0.8825	17.1000	0.0797	831.0000	86.0000	0.1035	853.0000
58	0.8352	0.6176	0.3522	0.7366	0.0650	0.8781	16.9000	0.0656	849.0000	88.0000	0.1037	862.0000
59	0.8323	0.6119	0.3497	0.7642	0.0558	0.8887	16.8000	0.0529	886.0000	86.0000	0.0971	921.0000
60	0.8477	0.6152	0.3555	0.7681	0.0657	0.8941	17.2000	0.0723	821.0000	81.0000	0.0987	845.0000
61	0.8168	0.6119	0.3497	0.7561	0.0615	0.8646	17.1000	0.0821	845.0000	99.0000	0.1172	865.0000
62	0.8436	0.6185	0.3520	0.7428	0.0604	0.8921	17.0000	0.0663	847.0000	86.0000	0.1015	874.0000
63	0.8261	0.6180	0.3524	0.7681	0.0590	0.8871	16.9000	0.0732	860.0000	84.0000	0.0977	891.0000
64	0.8323	0.6197	0.3547	0.7570	0.0635	0.8877	17.0000	0.0777	844.0000	85.0000	0.1007	872.0000
65	0.8182	0.6193	0.3637	0.7655	0.0656	0.8734	17.0000	0.0792	838.0000	93.0000	0.1110	868.0000
66	0.8215	0.6115	0.3539	0.7856	0.0590	0.8900	17.1000	0.0684	848.0000	84.0000	0.0991	884.0000
67	0.8326	0.6139	0.3584	0.7478	0.0642	0.8871	17.1000	0.0816	823.0000	92.0000	0.1118	861.0000
68	0.8024	0.6077	0.3327	0.7405	0.0555	0.8691	17.1000	0.0683	847.0000	91.0000	0.1074	874.0000
69	0.8304	0.6222	0.3635	0.7480	0.0647	0.8834	17.1000	0.0684	852.0000	84.0000	0.0986	868.0000
70	0.8207	0.6143	0.3534	0.7744	0.0632	0.8733	17.2000	0.0833	853.0000	89.0000	0.1043	875.0000
71	0.8308	0.6160	0.3603	0.7943	0.0591	0.8824	16.9000	0.0612	836.0000	80.0000	0.0957	879.0000
72	0.8277	0.6185	0.3532	0.7479	0.0651	0.8795	17.1000	0.0850	867.0000	95.0000	0.1096	890.0000
73	0.7989	0.6185	0.3555	0.7475	0.0630	0.8635	17.1000	0.0843	864.0000	102.0000	0.1181	901.0000
74	0.8047	0.6205	0.3564	0.7441	0.0620	0.8698	17.1000	0.0754	865.0000	98.0000	0.1133	884.0000
75	0.8076	0.6205	0.3571	0.7377	0.0634	0.8675	17.0000	0.0669	830.0000	93.0000	0.1120	847.0000
76	0.8146	0.6242	0.3585	0.7604	0.0646	0.8756	17.0000	0.0799	840.0000	99.0000	0.1179	865.0000
77	0.8080	0.6172	0.3627	0.8027	0.0603	0.8916	17.1000	0.0795	897.0000	79.0000	0.0881	915.0000
78	0.8101	0.6148	0.3556	0.7379	0.0597	0.8705	17.1000	0.0619	877.0000	96.0000	0.1095	911.0000
79	0.8093	0.6148	0.3556	0.7530	0.0639	0.8879	17.0000	0.0756	854.0000	79.0000	0.0925	886.0000
80	0.8113	0.6143	0.3478	0.8000	0.0608	0.8863	17.1000	0.0790	832.0000	78.0000	0.0938	843.0000
81	0.8025	0.6160	0.3595	0.7321	0.0604	0.8738	17.1000	0.0747	869.0000	94.0000	0.1082	913.0000
82	0.8384	0.6180	0.3564	0.7614	0.0609	0.8815	17.0000	0.0735	841.0000	89.0000	0.1058	861.0000
83	0.8326	0.6156	0.3496	0.7588	0.0609	0.8809	17.0000	0.0608	843.0000	86.0000	0.1020	886.0000
84	0.8230	0.6139	0.3452	0.7486	0.0617	0.8754	17.0000	0.0635	850.0000	80.0000	0.0941	861.0000
85	0.8308	0.6098	0.3452	0.7673	0.0625	0.8930	17.2000	0.0650	839.0000	85.0000	0.1013	848.0000
86	0.8445	0.6156	0.3460	0.7811	0.0608	0.8954	17.0000	0.0559	813.0000	81.0000	0.0996	841.0000
87	0.8219	0.6213	0.3541	0.7808	0.0630	0.8706	17.1000	0.0839	837.0000	94.0000	0.1123	855.0000
88	0.8305	0.6172	0.3635	0.7512	0.0627	0.8775	17.0000	0.0686	849.0000	91.0000	0.1072	878.0000
89	0.8370	0.6193	0.3640	0.7691	0.0652	0.8873	17.0000	0.0653	892.0000	90.0000	0.1009	903.0000
90	0.8110	0.6164	0.3559	0.7779	0.0645	0.8967	16.9000	0.0627	863.0000	82.0000	0.0950	869.0000
91	0.8394	0.6160	0.3511	0.7472	0.0619	0.8859	17.1000	0.0693	926.0000	92.0000	0.0994	930.0000
92	0.8036	0.6185	0.3522	0.7253	0.0588	0.8723	17.1000	0.0810	880.0000	95.0000	0.1080	892.0000
93	0.8142	0.6168	0.3599	0.7469	0.0638	0.8763	16.9000	0.0868	842.0000	88.0000	0.1045	869.0000
94	0.8427	0.6148	0.3432	0.7685	0.0600	0.8846	17.0000	0.0715	872.0000	86.0000	0.0986	895.0000
95	0.8411	0.6135	0.3529	0.7587	0.0651	0.8795	17.3000	0.0570	835.0000	97.0000	0.1162	856.0000
96	0.8080	0.6164	0.3365	0.7124	0.0607	0.8680	17.1000	0.0753	827.0000	91.0000	0.1100	847.0000
97	0.8266	0.6205	0.3580	0.7395	0.0640	0.8808	17.1000	0.0766	887.0000	94.0000	0.1060	889.0000
98	0.8293	0.6090	0.3451	0.7390	0.0603	0.8789	17.3000	0.0725	847.0000	93.0000	0.1098	859.0000
99	0.8225	0.6222	0.3617	0.7528	0.0624	0.8764	17.0000	0.0698	914.0000	90.0000	0.0985	928.0000
100	0.7911	0.6218	0.3647	0.7415	0.0629	0.8813	16.9000	0.0886	894.0000	90.0000	0.1007	903.0000
101	0.8420	0.6164	0.3657	0.7660	0.0622	0.8775	17.2000	0.0624	911.0000	93.0000	0.1021	917.0000
102	0.8111	0.6176	0.3504	0.7179	0.0652	0.8789	17.0000	0.0841	838.0000	92.0000	0.1098	856.0000
103	0.7987	0.6242	0.3589	0.7204	0.0681	0.8688	17.2000	0.0870	877.0000	102.0000	0.1163	885.0000
104	0.8390	0.6218	0.3562	0.7652	0.0619	0.8867	17.2000	0.0642	892.0000	87.0000	0.0975	905.0000
105	0.8449	0.6152	0.3617	0.7494	0.0634	0.8897	17.2000	0.0803	856.0000	84.0000	0.0981	884.0000
106	0.8243	0.6185	0.3498	0.7565	0.0626	0.8741	16.9000	0.0724	848.0000	91.0000	0.1073	853.0000
107	0.8201	0.6168	0.3627	0.7797	0.0603	0.8790	16.8000	0.0793	843.0000	90.0000	0.1068	862.0000
108	0.8370	0.6213	0.3487	0.7472	0.0624	0.8825	17.2000	0.0669	877.0000	92.0000	0.1049	892.0000
109	0.8181	0.6156	0.3536	0.7362	0.0593	0.8646	17.2000	0.0754	880.0000	97.0000	0.1102	890.0000
110	0.8492	0.6164	0.3546	0.7764	0.0599	0.8876	17.1000	0.0665	863.0000	82.0000	0.0950	874.0000
111	0.8325	0.6176	0.3494	0.7573	0.0624	0.8962	17.0000	0.0736	834.0000	87.0000	0.1043	854.0000
112	0.8035	0.6115	0.3453	0.7481	0.0584	0.8763	16.9000	0.0644	908.0000	88.0000	0.0969	915.0000
113	0.8405	0.6127	0.3614	0.7814	0.0645	0.8908	17.2000	0.0602	855.0000	78.0000	0.0912	873.0000
114	0.8287	0.6168	0.3547	0.7388	0.0632	0.8760	17.2000	0.0798	840.0000	89.0000	0.1060	859.0000
115	0.8434	0.6172	0.3571	0.7511	0.0588	0.8878	17.0000	0.0658	880.0000	84.0000	0.0955	920.0000
116	0.8164	0.6119	0.3405	0.7730	0.0609	0.8751	17.0000	0.0836	824.0000	88.0000	0.1068	846.0000
117	0.8438	0.6160	0.3501	0.7419	0.0603	0.8882	17.1000	0.0652	831.0000	85.0000	0.1023	862.0000
118	0.8219	0.6160	0.3500	0.7669	0.0628	0.8798	17.0000	0.0719	871.0000	85.0000	0.0976	903.0000
119	0.8193	0.6053	0.3434	0.7547	0.0564	0.8764	17.1000	0.0685	846.0000	91.0000	0.1076	857.0000
120	0.8214	0.6156	0.3498	0.7566	0.0593	0.8734	16.9000	0.0834	883.0000	91.0000	0.1031	910.0000
121	0.8297	0.6131	0.3448	0.7663	0.0617	0.8624	17.2000	0.0771	824.0000	88.0000	0.1068	826.0000
122	0.8280	0.6127	0.3461	0.7417	0.0645	0.8676	16.9000	0.0912	827.0000	94.0000	0.1137	846.0000
123	0.8072	0.6160	0.3645	0.7470	0.0628	0.8712	17.0000	0.0826	844.0000	96.0000	0.1137	862.0000
124	0.8178	0.6230	0.3582	0.7489	0.0608	0.8755	17.1000	0.0736	872.0000	94.0000	0.1078	895.0000
125	0.8314	0.6156	0.3508	0.7786	0.0585	0.8871	17.1000	0.0657	821.0000	87.0000	0.1060	861.0000
126	0.8253	0.6201	0.3600	0.7687	0.0599	0.8877	16.8000	0.0637	870.0000	87.0000	0.1000	894.0000
